Ticker,Beta
COIN,2.9609591653634353
XYZ,2.5447844213264874
NVDA,2.2685158518822455
APP,2.2619330004579905
TTD,2.2371229624512874
PLTR,2.189588018492732
MPWR,2.134131133519685
AMD,2.0647487238076816
DASH,2.00491822199532
HOOD,1.9848279564216886
ON,1.966556182136004
CCL,1.962670539805167
TSLA,1.9570411817444804
DDOG,1.950866724906899
NCLH,1.8934137971737768
SMCI,1.8552553353781125
GNRC,1.8475703510465344
LRCX,1.8455850526548268
AMAT,1.7922121553869588
TER,1.7633076858866925
KLAC,1.758220934092199
META,1.724087746658149
CRWD,1.7140235705731635
BX,1.707990123990178
DAY,1.6726175126566176
ALGN,1.6705279919693177
ABNB,1.666256314625108
KKR,1.6535729653264422
RCL,1.6508843442704808
MCHP,1.6375566444451388
NOW,1.6093263262018984
AMZN,1.6068850684079363
QCOM,1.591832622089923
MU,1.5823045875824733
NXPI,1.5762358358888688
INTU,1.574164889607735
AVGO,1.5619832600923333
ADSK,1.5586651097640765
BLDR,1.5346368634892669
ALB,1.5255884702751077
ANET,1.5248911225459831
MTCH,1.5215420312749737
PYPL,1.5202935251788245
EPAM,1.5195260164080047
SWKS,1.511264726544425
NFLX,1.5109018452300573
ZBRA,1.5001893782684306
PAYC,1.4976118156942266
APTV,1.4968138532078377
UBER,1.4963337173855245
SNPS,1.4546478424965819
MGM,1.4545141331410387
ADBE,1.4479742795178607
WDC,1.4398226643197765
CRM,1.4355143761540499
URI,1.4326774484330862
MRNA,1.4272854972738147
TROW,1.4264556082421775
APO,1.4264223024518292
WSM,1.4220713993098266
IVZ,1.4197071899365148
CDNS,1.4144928201440807
TRMB,1.4077541300430565
INTC,1.398487602735264
UAL,1.3919309416571395
F,1.371336515876843
FTNT,1.3697675302802288
LULU,1.359129163073609
EXPE,1.3586585911805145
WDAY,1.349275550425234
WBD,1.3470028820904563
FCX,1.346974157778348
ADI,1.3399280986837054
GOOG,1.337524461952366
GOOGL,1.3355987136146092
DELL,1.32774864242154
SYF,1.3021003586636022
ISRG,1.3016030880074392
COF,1.2916117407477539
DECK,1.2795943363998754
GM,1.2760119911672012
MHK,1.2735160987488545
IDXX,1.269363703076664
KEY,1.2691586176455758
CRL,1.264003002407908
DAL,1.2619154776033934
PANW,1.2516353704116239
MSFT,1.2483289586522908
FICO,1.2480462201359814
EL,1.2460960833438905
ODFL,1.239719096771924
MSCI,1.2382107501498651
TPR,1.2379866583586812
STX,1.23664758794765
PHM,1.231800621336314
WYNN,1.2293480621867392
JBL,1.2266307835788428
PSKY,1.22154782928163
PODD,1.2202379173222375
RL,1.2192398819996737
AXON,1.2175407614179667
BEN,1.2154020193580195
AAPL,1.2106886659459084
KEYS,1.2079490193035274
POOL,1.2029714483841532
EFX,1.2002625462744911
BLK,1.1989107681568478
DXCM,1.1939262012625425
IQV,1.192551912444163
LEN,1.1910342241116372
TYL,1.1906542028213543
AMP,1.1837649500001095
LYV,1.175263968556751
ROK,1.170655136734795
TECH,1.1680971357617023
GPN,1.163146040169762
NUE,1.1621076718972336
TXN,1.1605577611959748
IR,1.1599726939806345
DHI,1.158004154730882
CARR,1.1561981453130283
STT,1.1555318137867496
CFG,1.1519823134743883
SWK,1.1483651669418136
MTD,1.1475134672734895
APH,1.1474252833268463
HPQ,1.1435927427734116
NKE,1.1428297305805815
TEL,1.1397689386893088
PH,1.1385315129886335
LII,1.1382710796023663
FITB,1.1345601013493882
BKNG,1.133449168418233
CSGP,1.1330381551713853
CBRE,1.1328324328647525
PWR,1.129111562421741
PTC,1.122299588382334
PNR,1.1218785141159084
AXP,1.121371216526118
HPE,1.121048795107978
STLD,1.1204386146822773
HST,1.1114556245176386
MCO,1.1078234196123102
TFC,1.1061518803718084
IT,1.1045069843845514
FFIV,1.1022566669808673
ACN,1.094207698087731
CMG,1.092849408777952
CPRT,1.0927403829134044
HWM,1.092573598172243
LVS,1.089095759028465
TDG,1.0890725156696455
CPAY,1.0859628108169732
MLM,1.0840417742130304
EBAY,1.0769120097423839
MS,1.076106808121998
BA,1.075550841915562
BBY,1.0745362721135514
MAR,1.07274918316254
ETN,1.0690130849515864
XYL,1.0677012841873181
RF,1.0672417964206784
MAS,1.0652788105167181
WST,1.0639954871990638
NTRS,1.0602845428490566
BXP,1.0555447140637257
FSLR,1.0553355411573333
HLT,1.0534449216152237
NTAP,1.0516031428968542
GDDY,1.0515788154742134
RVTY,1.0419273303691878
HBAN,1.0413926948359857
CDW,1.0410426493538598
NWSA,1.040952701388757
JCI,1.0407183753535432
TXT,1.039770524530206
FTV,1.0325506767511274
DIS,1.032373361667867
NWS,1.0299679553982313
GE,1.0273783164865833
A,1.0248001780780023
NVR,1.0218144007917107
RJF,1.0212093600043106
PLD,1.0198740659206957
PPG,1.0182929592233974
TT,1.01699407233291
AES,1.0158960585641474
VMC,1.0156471079442986
C,1.0144675826167593
FIS,1.0143113494658345
TGT,1.0090804049761937
GS,1.0086704790399896
ORCL,1.00827558327187
VST,1.0039858502500754
ARE,0.9942729551558005
PNC,0.9894994173770347
DD,0.9891861957210989
SBUX,0.9885980720147025
WAT,0.9876104468449195
ALLE,0.9835719631212342
SPG,0.9813045965929462
USB,0.9811232568841205
ECL,0.9800928790182994
BAC,0.9785987110763409
ROST,0.9785558419566821
CTSH,0.9784023583836622
IPG,0.978384480599259
DLR,0.9776115458600643
MA,0.9747120210490647
APA,0.9718478021393393
WAB,0.9716854097305377
DOV,0.9716163485751111
EQIX,0.9711972974442085
PFG,0.9708757364095078
HUBB,0.9707928495231881
WFC,0.9680281207518593
SCHW,0.9649901357411209
DHR,0.9624426900456219
LUV,0.9622331160680616
EQT,0.961359590954431
LOW,0.9540113651633061
SPGI,0.953309759659901
PRU,0.9531494201110251
EW,0.9490001221901234
GLW,0.948475589426278
FDX,0.9454694850673931
LKQ,0.9446304243876152
COO,0.9436416633534889
NDSN,0.9424959380802896
VRSN,0.9423627487209496
AVY,0.9393396437520172
JBHT,0.9375359607563398
EMR,0.9329919915029248
KIM,0.9298462922595222
WY,0.9267059155985937
AOS,0.9244506397329497
CHTR,0.9235477018981851
HD,0.9235389972537197
TTWO,0.9223973575088271
ZTS,0.9166108214628392
IRM,0.9165149864093154
CTAS,0.9148338191110333
CAT,0.9143525581624424
GRMN,0.9128975584482646
BK,0.9104870585121404
BALL,0.9086440501126684
AIG,0.9056801883640538
TMO,0.9045666192937688
PAYX,0.9036799691229487
MTB,0.9036363707986906
IFF,0.9007869830103897
HAS,0.8990287224108318
TDY,0.8961474664583534
SHW,0.8959773112519595
SYK,0.8936756412329429
RMD,0.8933786252438944
EME,0.893258043600146
FISV,0.8903202962769416
MOS,0.889790510312748
ULTA,0.8888020520659046
EXR,0.886588962190561
TRGP,0.8839229769212612
COST,0.8835420119800961
UPS,0.8776827330611069
BR,0.8762259928591746
J,0.8724970922275458
FAST,0.8719383172345474
IBKR,0.8700943620452702
UHS,0.8683388916402914
JPM,0.8669337660795445
V,0.8666658008662279
NRG,0.8665871548302515
DVN,0.8663409054423399
TSCO,0.8562347930861415
OKE,0.8547900608971093
HCA,0.8474288159700641
MSI,0.8456548121453874
OMC,0.844277121787257
INVH,0.8408539324667386
TPL,0.8373047838329644
NSC,0.8344307034590592
OTIS,0.8341199827832464
BRO,0.8337113487494644
AME,0.8291259479392129
ADP,0.8271974862102056
DRI,0.8262265828733655
STE,0.8262114949210551
MET,0.8258835274178625
BIIB,0.825538605960467
REG,0.8245915193390451
HAL,0.8236557241257585
NDAQ,0.8236068399799733
ITW,0.8231115417164899
IEX,0.8197879657723173
CSX,0.819080458572168
CMI,0.81631692487346
EXPD,0.8162416336086438
GWW,0.814612474544672
LIN,0.814451158274627
FRT,0.8100641436347914
PCAR,0.8003333198668932
CSCO,0.7979335875424679
FDS,0.7938361696029576
SNA,0.7917371507173
ROP,0.7899442348352774
SBAC,0.789381246228329
AKAM,0.7862351632977628
TJX,0.785153328401436
MMM,0.7837368830262108
DOC,0.7811931184471338
LYB,0.7781216140880212
UDR,0.7761949291228669
DOW,0.7740696988536925
HON,0.771479548716936
ESS,0.768383491986236
VTRS,0.7675248009625372
DPZ,0.7668971274413405
DE,0.7656220001705298
EXE,0.7653198434374691
AMCR,0.7637382569586598
CMCSA,0.7624818887530498
ICE,0.7605885135891954
GEN,0.7510685613330531
CINF,0.749653108691596
EQR,0.7466958155743276
ZBH,0.7365030447292612
MAA,0.7352361085885436
IP,0.7327365038149882
MMC,0.7296235374004758
APD,0.7290672143198256
GPC,0.7284112136554485
AVB,0.7267101072031618
PKG,0.7263228736580346
CPT,0.7196611110952202
LW,0.7158857338856924
AON,0.7155111352134989
VICI,0.7152121270597274
FANG,0.7137873534871813
BKR,0.7135897275324508
VRSK,0.7096352655703427
AJG,0.7067305069205074
AMT,0.7058122638697373
BRK-B,0.7043738346423277
CCI,0.7027645711171733
CTRA,0.6993980117593875
VTR,0.6976919527299048
UNP,0.6944647635968438
MNST,0.693819217023802
SLB,0.6936471442992025
HIG,0.6922201986351666
PSA,0.6895290219782524
FOX,0.685533530505536
PCG,0.6847156825992363
DLTR,0.6832756617422576
OXY,0.6829845696537267
BSX,0.6814709960362814
ABT,0.6723161424273719
FOXA,0.671319421424601
SYY,0.670880476963214
WTW,0.6670940380035553
L,0.6621486623469149
MPC,0.6604326549734338
LH,0.6543344841993052
NEE,0.6535734603230445
CTVA,0.6500897496550031
JKHY,0.6406418783191594
VRTX,0.6391455183422895
AWK,0.6360703519966682
YUM,0.6334095480321368
CHRW,0.6317136728402837
WELL,0.6304200962013818
EOG,0.6137329679476321
VLO,0.610630891922893
AFL,0.6077791574334438
HSIC,0.6037438464227016
PSX,0.6032218074591976
KMI,0.6030848137805767
WMB,0.6022213875896677
EA,0.5952210732716179
GL,0.5940559494163654
COP,0.5907974656662409
BF-B,0.5896647527743035
MDT,0.5893444553344347
AIZ,0.5870548937994662
REGN,0.5863282822210971
EIX,0.5854371445077532
HOLX,0.5830706821895113
BAX,0.5816846694052697
EG,0.5792628183450704
LLY,0.5756943700057399
IBM,0.5742062270222276
ERIE,0.5737953697604036
ACGL,0.5697889686750056
HII,0.5683530426156314
TMUS,0.564352696716342
ROL,0.5635908588469696
GD,0.5622105259893133
RTX,0.560210833726827
AZO,0.5571214515940758
ADM,0.5511992957890407
ALL,0.5451918625219986
TKO,0.5436842367845107
SW,0.5354280427773115
STZ,0.5346327378282767
PEG,0.5276136433754324
BG,0.5269507594332468
DG,0.5258482814116554
ORLY,0.5255942097887997
CVS,0.5248978204006977
CVX,0.5230768627517994
DVA,0.5221436855863991
INCY,0.5178184564297527
CF,0.5147454117704812
SRE,0.513626796329998
CB,0.5133807914258843
PPL,0.5133202225278904
O,0.5116172403873519
CNC,0.5096291979341632
ELV,0.507476812159742
NEM,0.5072146805414136
CNP,0.5060646021142368
NI,0.4989004803303279
LDOS,0.49699589208142053
BDX,0.491187925528742
MOH,0.4881452009939523
RSG,0.4816246449720783
TAP,0.4708639020430309
CI,0.4691442875838901
ATO,0.46872122900381946
WRB,0.46867268599145934
DGX,0.46529474512564895
XOM,0.46512663389470055
MCD,0.4637984001738418
TRV,0.4623293155963276
EXC,0.4591433986149006
MDLZ,0.45667332810409356
ES,0.45553439218777425
PFE,0.451543966716727
PGR,0.45132206393927343
GILD,0.4494769523299521
EVRG,0.4487163154853738
LNT,0.4404226599513482
TSN,0.43971935416870456
ETR,0.4394294735466849
UNH,0.4380620269157322
FE,0.43178864879600226
PNW,0.4309102244915922
WM,0.4288093586749079
AMGN,0.4271294038458586
AEP,0.42526475888717685
CAH,0.4207761204546349
AEE,0.42048934181746767
LHX,0.4176662434454995
DTE,0.41179913100459226
HUM,0.40835230947550416
WMT,0.40797008326967094
XEL,0.39535797359077374
MKC,0.3934998379306759
KO,0.38923466127649003
PM,0.38828542257306914
D,0.38600491666476777
CME,0.3836870153238275
PEP,0.3828828859645681
T,0.37921251392171657
WEC,0.3777653893387725
KDP,0.3764773238507613
SO,0.37587083722025144
PG,0.3730927951823662
CLX,0.3720936533217098
CMS,0.36809305440280304
COR,0.3609127036824766
DUK,0.35079503159379294
VZ,0.32478033656768757
ED,0.3202556875699524
MO,0.3167022293115553
KR,0.31266357787043375
CL,0.3078123208612068
CBOE,0.30413902338961407
ABBV,0.2990976042132524
CHD,0.2957295858502867
KMB,0.29102181820929107
MCK,0.288920811380625
BMY,0.28025129637578383
NOC,0.27641747672031125
CAG,0.27595012667981245
HSY,0.2717951134320327
MRK,0.25882190912178415
KHC,0.24974072947669604
JNJ,0.24661062439447856
LMT,0.2438643223082221
HRL,0.23660676679261666
SJM,0.19658935175026945
CPB,0.13366516417361737
GIS,0.13324913189074056
K,0.10899394883760977
